Experiment: 2015-9-14 gezi xingbie jianding PCR(0006078,0006079,0006080,0006081)  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	3200768	K5	Sample 245	76.00	80.57	
True	255	K6	Sample 246	80.67		
True	3200768	K7	Sample 247	76.16	80.60	
True	3200768	K8	Sample 248	76.28	80.81	
True	3200768	K9	Sample 249	76.26	80.85	
True	16744448	K10	Sample 250			
True	3200768	K11	Sample 251	75.44	79.98	
True	255	K12	Sample 252	80.58		
True	3200768	K13	Sample 253	75.68	80.45	
True	16744448	K14	Sample 254			
True	255	K15	Sample 255	80.44		
True	3200768	K16	Sample 256	76.00	80.62	
True	255	K17	Sample 257	80.46		
True	3200768	K18	Sample 258	76.64	81.02	
True	255	K19	Sample 259	75.80		
True	255	K20	Sample 260	80.63		
True	255	K21	Sample 261	80.70		
True	255	K22	Sample 262	80.46		
True	255	K23	Sample 263	80.64		
True	255	K24	Sample 264	80.79		
True	3200768	L1	Sample 265	76.15	80.83	
True	255	L2	Sample 266	80.69		
True	255	L3	Sample 267	80.62		
True	3200768	L4	Sample 268	76.58	80.96	
True	255	L5	Sample 269	80.58		
True	3200768	L6	Sample 270	75.27	80.71	
True	3200768	L7	Sample 271	76.25	80.75	
True	255	L8	Sample 272	76.25		
True	3200768	L9	Sample 273	76.07	80.66	
True	255	L10	Sample 274	76.56		
True	255	L11	Sample 275	80.55		
True	255	L12	Sample 276	80.57		
True	255	L13	Sample 277	80.57		
True	255	L14	Sample 278	80.21		
True	255	L15	Sample 279	80.64		
True	255	L16	Sample 280	80.36		
True	255	L17	Sample 281	80.31		
True	3200768	L18	Sample 282	76.06	80.64	
True	3200768	L19	Sample 283	76.64	81.15	
True	3200768	L20	Sample 284	76.03	80.60	
True	3200768	L21	Sample 285	76.37	80.87	
True	3200768	L22	Sample 286	76.39	80.64	
True	3200768	L23	Sample 287	76.30	80.84	
True	3200768	L24	Sample 288	76.56	80.94	
True	3200768	M1	Sample 289	75.71	80.91	
True	255	M2	Sample 290	76.62		
True	255	M3	Sample 291	80.77		
True	255	M4	Sample 292	80.72		
True	255	M5	Sample 293	80.72		
True	255	M6	Sample 294	80.61		
True	255	M7	Sample 295	80.73		
True	255	M8	Sample 296	80.67		
True	255	M9	Sample 297	76.70		
True	255	M10	Sample 298	80.60		
True	3200768	M11	Sample 299	76.26	80.68	
True	255	M12	Sample 300	80.50		
True	255	M13	Sample 301	80.66		
True	255	M14	Sample 302	76.17		
True	3200768	M15	Sample 303	76.63	81.15	
True	255	M16	Sample 304	80.79		
True	255	M17	Sample 305	80.71		
True	3200768	M18	Sample 306	76.47	80.86	
True	3200768	M19	Sample 307	76.13	80.70	
True	3200768	M20	Sample 308	76.57	80.93	
True	3200768	M21	Sample 309	76.24	80.77	
True	3200768	M22	Sample 310	76.73	81.03	
True	255	M23	Sample 311	80.71		
True	255	M24	Sample 312	80.81		
True	3200768	N1	Sample 313	76.36	80.97	
True	255	N2	Sample 314	80.76		
True	3200768	N3	Sample 315	76.60	81.00	
True	3200768	N4	Sample 316	75.74	80.54	
True	3200768	N5	Sample 317	76.33	80.74	
True	255	N6	Sample 318	76.14		
True	255	N7	Sample 319	76.64		
True	255	N8	Sample 320	80.65		
True	255	N9	Sample 321	80.72		
True	3200768	N10	Sample 322	76.49	80.92	
True	3200768	N11	Sample 323	76.54	80.93	
True	3200768	N12	Sample 324	76.23	80.63	
True	3200768	N13	Sample 325	76.22	80.71	
True	255	N14	Sample 326	80.67		
True	255	N15	Sample 327	80.69		
True	255	N16	Sample 328	80.36		
True	255	N17	Sample 329	76.66		
True	3200768	N18	Sample 330	75.79	80.80	
True	3200768	N19	Sample 331	75.44	80.79	
True	255	N20	Sample 332	76.79		
True	3200768	N21	Sample 333	76.57	80.93	
True	3200768	N22	Sample 334	76.62	81.05	
True	255	N23	Sample 335	76.77		
True	3200768	N24	Sample 336	76.42	80.85	
True	3200768	O1	Sample 337	76.67	81.12	
True	3200768	O2	Sample 338	76.51	80.91	
True	3200768	O3	Sample 339	75.73	80.91	
True	3200768	O4	Sample 340	76.39	80.79	
True	255	O5	Sample 341	76.65		
True	3200768	O6	Sample 342	76.56	80.91	
True	3200768	O7	Sample 343	76.61	81.04	
True	3200768	O8	Sample 344	76.34	80.80	
True	255	O9	Sample 345	80.79		
True	3200768	O10	Sample 346	75.87	80.91	
True	255	O11	Sample 347	76.70		
True	255	O12	Sample 348	76.19		
True	255	O13	Sample 349	80.81		
True	3200768	O14	Sample 350	76.29	80.73	
True	255	O15	Sample 351	80.78		
True	255	O16	Sample 352	80.75		
True	255	O17	Sample 353	80.76		
True	255	O18	Sample 354	76.54		
True	255	O19	Sample 355	80.80		
True	255	O20	Sample 356	76.54		
True	255	O21	Sample 357	76.73		
True	3200768	O22	Sample 358	76.73	81.03	
True	3200768	O23	Sample 359	76.55	80.92	
True	255	O24	Sample 360	80.11		
True	3200768	P1	Sample 361	76.74	81.17	
True	255	P2	Sample 362	76.82		
True	3200768	P3	Sample 363	76.39	80.96	
True	3200768	P4	Sample 364	76.51	81.02	
True	255	P5	Sample 365	80.80		
True	255	P6	Sample 366	76.63		
True	255	P7	Sample 367	80.21		
True	255	P8	Sample 368	76.61		
True	3200768	P9	Sample 369	74.58	79.92	
True	16744448	P10	Sample 370			
True	255	P11	Sample 371	80.74		
True	255	P12	Sample 372	79.31		
True	3200768	P13	Sample 373	76.27	81.06	
True	16744448	P14	Sample 374			
True	16744448	P15	Sample 375			
True	16744448	P16	Sample 376			
True	16744448	P17	Sample 377			
True	255	P18	Sample 378	80.90		
True	255	P19	Sample 379	74.12		
True	3200768	P20	Sample 380	75.84	80.92	
True	16744448	P21	Sample 381			
True	255	P22	Sample 382	80.69		
True	3200768	P23	Sample 383	76.57	81.04	
True	255	P24	Sample 384	80.56		
